dst,dst_burton,dst_corrector,dst_final,err_burton,err_corrector,err_final,anomaly_score,recon_error,alert_level,w_burton,w_corrector,blend_certainty,storm_phase
-31.0,-4.107742786407471,-25.928162097930908,-14.722437858581543,26.89225721359253,5.071837902069092,16.277562141418457,0.0,0.06335688382387161,GREEN,0.5135430097579956,0.4864569902420044,0.02708601951599121,2
-31.0,-4.098851680755615,-25.854623317718506,-14.68533992767334,26.901148319244385,5.145376682281494,16.31466007232666,0.0,0.0632840096950531,GREEN,0.5133940577507019,0.4866059422492981,0.02678811550140381,2
-31.0,-4.089979648590088,-25.422441959381104,-14.46512222290039,26.910020351409912,5.5775580406188965,16.53487777709961,0.0,0.06291335076093674,GREEN,0.5136454105377197,0.48635464906692505,0.027290761470794678,2
-31.0,-4.081126689910889,-27.046857357025146,-14.74301528930664,26.91887331008911,3.9531426429748535,16.25698471069336,0.0,0.06259876489639282,GREEN,0.5357480049133301,0.4642520546913147,0.07149595022201538,3
-31.0,-4.074339389801025,-27.05124521255493,-14.755969047546387,26.925660610198975,3.9487547874450684,16.244030952453613,0.0,0.062441177666187286,GREEN,0.5351144075393677,0.46488550305366516,0.07022890448570251,3
-31.0,-4.066117763519287,-26.058499813079834,-14.320266723632812,26.933882236480713,4.941500186920166,16.679733276367188,0.0,0.062428150326013565,GREEN,0.5337408781051636,0.46625909209251404,0.06748178601264954,3
-31.0,-4.057316780090332,-26.110636711120605,-14.321722984313965,26.942683219909668,4.8893632888793945,16.678277015686035,0.0,0.06247209757566452,GREEN,0.5345641374588013,0.46543586254119873,0.06912827491760254,3
-31.0,-4.048534870147705,-25.36027193069458,-13.958252906799316,26.951465129852295,5.63972806930542,17.041747093200684,0.0,0.06259487569332123,GREEN,0.5350112915039062,0.4649887681007385,0.07002252340316772,3
-31.0,-4.039772033691406,-26.291271209716797,-14.380810737609863,26.960227966308594,4.708728790283203,16.619189262390137,0.0,0.06234638765454292,GREEN,0.5352655649185181,0.4647344648838043,0.07053110003471375,3
-31.0,-4.031569004058838,-25.625824451446533,-14.098465919494629,26.968430995941162,5.374175548553467,16.90153408050537,0.0,0.06208212301135063,GREEN,0.5338159203529358,0.46618402004241943,0.06763190031051636,3
-31.0,-4.022842884063721,-25.64464807510376,-14.123867988586426,26.97715711593628,5.35535192489624,16.876132011413574,0.0,0.061630137264728546,GREEN,0.5328315496444702,0.4671684503555298,0.06566309928894043,3
-31.0,-4.014135360717773,-24.597501754760742,-14.025003433227539,26.985864639282227,6.402498245239258,16.97499656677246,0.0,0.061076972633600235,GREEN,0.5136427283287048,0.486357182264328,0.02728554606437683,2
-19.0,-4.005446910858154,-25.573546886444092,-14.450875282287598,14.994553089141846,-6.573546886444092,4.549124717712402,0.0,0.06048515811562538,GREEN,0.5157001614570618,0.4842998683452606,0.03140029311180115,2
-31.0,-4.000271320343018,-25.530062198638916,-14.483617782592773,26.999728679656982,5.469937801361084,16.516382217407227,0.0,0.05980551987886429,GREEN,0.5130770802497864,0.48692286014556885,0.02615422010421753,2
-19.0,-3.991612672805786,-27.414233446121216,-14.7938232421875,15.008387327194214,-8.414233446121216,4.2061767578125,0.0,0.05951801314949989,GREEN,0.5388129949569702,0.46118706464767456,0.07762593030929565,2
-31.0,-4.032476902008057,-26.062008380889893,-14.725211143493652,26.967523097991943,4.937991619110107,16.274788856506348,0.0,0.05932081118226051,GREEN,0.5146182179450989,0.4853818416595459,0.02923637628555298,2
-31.0,-4.023748397827148,-26.7318172454834,-14.640442848205566,26.97625160217285,4.268182754516602,16.359557151794434,0.0,0.05900581553578377,GREEN,0.5324704051017761,0.46752962470054626,0.06494078040122986,3
-31.0,-4.015038967132568,-26.282138347625732,-14.45164680480957,26.98496103286743,4.717861652374268,16.54835319519043,0.0,0.0586581826210022,GREEN,0.5312991738319397,0.4687008261680603,0.0625983476638794,3
-31.0,-4.006348609924316,-26.048287391662598,-14.317278861999512,26.993651390075684,4.951712608337402,16.68272113800049,0.0,0.058104753494262695,GREEN,0.532213032245636,0.4677869379520416,0.06442609429359436,3
-31.0,-3.9976768493652344,-25.562732696533203,-14.106149673461914,27.002323150634766,5.437267303466797,16.893850326538086,0.0,0.05721114203333855,GREEN,0.5312567949295044,0.4687432050704956,0.06251358985900879,3
-31.0,-3.9890239238739014,-25.229998350143433,-13.961321830749512,27.0109760761261,5.770001649856567,17.03867816925049,0.0,0.05621742084622383,GREEN,0.5305159091949463,0.4694840610027313,0.061031848192214966,3
-31.0,-3.9803895950317383,-25.377909660339355,-14.041677474975586,27.01961040496826,5.6220903396606445,16.958322525024414,0.0,0.055229704827070236,GREEN,0.5297919511795044,0.470208078622818,0.0595838725566864,3
-31.0,-3.971774101257324,-25.12870502471924,-13.942564010620117,27.028225898742676,5.871294975280762,17.057435989379883,0.0,0.05459418147802353,GREEN,0.5287222862243652,0.47127774357795715,0.05744454264640808,3
